# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.679153742769e-10       8.110776504222e-15       2.299712693716e-13       0.000000000000e+00       8.000578342512e-11       1.124227420792e-11      -6.491304310628e-15 
   41       1.704014941232e-10       8.808248493914e-15       2.195124751462e-13       0.000000000000e+00       7.606627806880e-11       1.072657113724e-11      -6.422580430083e-15 
   42       1.729059983311e-10       9.543109183876e-15       2.076863506564e-13       0.000000000000e+00       7.238071856720e-11       1.023902579902e-11      -6.805567819299e-15 
   43       1.754390965180e-10       1.031594135783e-14       1.944051319315e-13       0.000000000000e+00       6.893942476427e-11       9.780579250760e-12      -7.442921518788e-15 
   44       1.780089513812e-10       1.112726659008e-14       1.795691054689e-13       0.000000000000e+00       6.571750450364e-11       9.350662257384e-12      -8.091224918985e-15 
   45       1.806207508607e-10       1.197755036188e-14       1.630811481769e-13       0.000000000000e+00       6.268377772726e-11       8.947693522762e-12      -8.521306294874e-15 
   46       1.832742156533e-10       1.286722654689e-14       1.448975559311e-13       0.000000000000e+00       5.983358565677e-11       8.571060027978e-12      -8.727229229035e-15 
   47       1.859648976950e-10       1.379667496743e-14       1.249909488991e-13       0.000000000000e+00       5.716372910367e-11       8.219506391434e-12      -8.775062912078e-15 
   48       1.886844851745e-10       1.476621124906e-14       1.033362181986e-13       0.000000000000e+00       5.466257253332e-11       7.890465287731e-12      -8.746052434569e-15 
   49       1.914205004277e-10       1.577608419091e-14       7.991055337246e-14       0.000000000000e+00       5.230941608982e-11       7.579962958025e-12      -8.737477962669e-15 
   50       1.941609143735e-10       1.682648887552e-14       5.469186203107e-14       0.000000000000e+00       5.008075210669e-11       7.283773270790e-12      -8.838564838432e-15 
   51       1.969101673274e-10       1.791761629469e-14       2.765345932560e-14       0.000000000000e+00       4.797249362466e-11       7.001468419492e-12      -9.048511825346e-15 
   52       1.996769746484e-10       1.904961264834e-14      -1.232015516397e-15       0.000000000000e+00       4.598269406024e-11       6.733304409871e-12      -9.337697694409e-15 
   53       2.024697212124e-10       2.022256293808e-14      -3.199116439098e-14       0.000000000000e+00       4.410489328059e-11       6.479033721483e-12      -9.670378178633e-15 
   54       2.052963906730e-10       2.143648907809e-14      -6.464987850600e-14       0.000000000000e+00       4.232781360423e-11       6.237869573370e-12      -1.000437107454e-14 
   55       2.081634347628e-10       2.269135068748e-14      -9.922795915452e-14       0.000000000000e+00       4.063881097865e-11       6.008787429816e-12      -1.029959982289e-14 
   56       2.110722143247e-10       2.398705202519e-14      -1.357213047742e-13       0.000000000000e+00       3.903592892707e-11       5.791599092463e-12      -1.054693105995e-14 
   57       2.140215502513e-10       2.532343346908e-14      -1.741153831763e-13       0.000000000000e+00       3.751830658214e-11       5.586082844253e-12      -1.074594936361e-14 
   58       2.170085963841e-10       2.670026723977e-14      -2.143901115434e-13       0.000000000000e+00       3.608253160366e-11       5.391647483832e-12      -1.089675600742e-14 
   59       2.200287274780e-10       2.811725561614e-14      -2.565196931595e-13       0.000000000000e+00       3.472248248489e-11       5.207309730450e-12      -1.099999919769e-14 
   60       2.230754271643e-10       2.957402915070e-14      -3.004724541406e-13       0.000000000000e+00       3.342917085876e-11       5.031671628853e-12      -1.105690431052e-14 
   61       2.261424325739e-10       3.107011638211e-14      -3.462181617138e-13       0.000000000000e+00       3.219324381671e-11       4.863303857097e-12      -1.106942344445e-14 
   62       2.292309841903e-10       3.260484906559e-14      -3.937522679660e-13       0.000000000000e+00       3.101350396064e-11       4.702047306530e-12      -1.104065490012e-14 
   63       2.323440118988e-10       3.417743240689e-14      -4.430768429059e-13       0.000000000000e+00       2.989003064113e-11       4.547964889576e-12      -1.097457194202e-14 
   64       2.354839822911e-10       3.578696905247e-14      -4.941936457537e-13       0.000000000000e+00       2.882161685832e-11       4.400951893350e-12      -1.087594514042e-14 
   65       2.386528582307e-10       3.743245640057e-14      -5.471041990556e-13       0.000000000000e+00       2.780569596838e-11       4.260726263540e-12      -1.075037639422e-14 
   66       2.418520584186e-10       3.911278391223e-14      -6.018098627981e-13       0.000000000000e+00       2.683826838995e-11       4.126818888301e-12      -1.060433295381e-14 
   67       2.450824169589e-10       4.082673042240e-14      -6.583119085227e-13       0.000000000000e+00       2.591382831059e-11       3.998563882141e-12      -1.044518144387e-14 
   68       2.483444983656e-10       4.257305560837e-14      -7.166064529457e-13       0.000000000000e+00       2.502683732603e-11       3.875285868972e-12      -1.028004459520e-14 
   69       2.516397070824e-10       4.435080192787e-14      -7.766679010607e-13       0.000000000000e+00       2.417665592924e-11       3.756927616226e-12      -1.011202638466e-14 
   70       2.549693311758e-10       4.615904931217e-14      -8.384622659010e-13       0.000000000000e+00       2.336348419438e-11       3.643532705818e-12      -9.943279614929e-15 
   71       2.583341760046e-10       4.799682614605e-14      -9.019519558692e-13       0.000000000000e+00       2.258687013174e-11       3.535055193480e-12      -9.776119371768e-15 
   72       2.617345328759e-10       4.986310898705e-14      -9.670957173814e-13       0.000000000000e+00       2.184567595772e-11       3.431354930994e-12      -9.613026937091e-15 
   73       2.651701477015e-10       5.175682228456e-14      -1.033848577511e-12       0.000000000000e+00       2.113804436475e-11       3.332192888420e-12      -9.456653702080e-15 
   74       2.686401896545e-10       5.367683809906e-14      -1.102161786632e-12       0.000000000000e+00       2.046136479123e-11       3.237226476330e-12      -9.309825080282e-15 
