# Matter power spectrum P(k) at redshift z=0
# for k=1.05911e-05 to 1.12045 h/Mpc,
# number of wavenumbers equal to 606
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.345521164607e-02       2.233094114314e+04 
       1.358387760206e-02       2.237124202278e+04 
       1.371257983874e-02       2.240947401006e+04 
       1.384131846537e-02       2.244581966685e+04 
       1.397009361434e-02       2.248025976562e+04 
       1.409890544069e-02       2.251281419728e+04 
       1.422775412188e-02       2.254350344384e+04 
       1.435663985737e-02       2.257238040898e+04 
       1.448556286847e-02       2.259940017612e+04 
       1.461452339799e-02       2.262456836493e+04 
       1.474352171009e-02       2.264803670754e+04 
       1.487255809009e-02       2.266971497491e+04 
       1.500163284429e-02       2.268969139351e+04 
       1.513074629988e-02       2.270800447047e+04 
       1.525989880478e-02       2.272453065497e+04 
       1.538909072762e-02       2.273944527180e+04 
       1.551832245763e-02       2.275271587531e+04 
       1.564759440464e-02       2.276437447221e+04 
       1.577690699906e-02       2.277444085722e+04 
       1.590626069188e-02       2.278291944758e+04 
       1.603565595469e-02       2.278981994079e+04 
       1.616509327975e-02       2.279526549026e+04 
       1.629457318005e-02       2.279907720655e+04 
       1.642409618939e-02       2.280145767986e+04 
       1.655366286249e-02       2.280235287697e+04 
       1.668327377513e-02       2.280179998507e+04 
       1.681292952425e-02       2.279979060064e+04 
       1.694263072815e-02       2.279646147850e+04 
       1.707237802666e-02       2.279158681625e+04 
       1.720217208132e-02       2.278543771835e+04 
       1.733201357558e-02       2.277785397986e+04 
       1.746190321507e-02       2.276904984287e+04 
       1.759184172781e-02       2.275881401876e+04 
       1.772182986448e-02       2.274733453115e+04 
       1.785186839869e-02       2.273455583977e+04 
       1.798195812731e-02       2.272051510007e+04 
       1.811209987073e-02       2.270528889988e+04 
       1.824229447323e-02       2.268873760249e+04 
       1.837254280327e-02       2.267103602950e+04 
       1.850284575394e-02       2.265217549765e+04 
       1.863320424326e-02       2.263210652470e+04 
       1.876361921458e-02       2.261092163638e+04 
       1.889409163706e-02       2.258850582928e+04 
       1.902462250601e-02       2.256507214372e+04 
       1.915521284339e-02       2.254045853391e+04 
       1.928586369829e-02       2.251488648373e+04 
       1.941657614736e-02       2.248814608599e+04 
       1.954735129533e-02       2.246036201613e+04 
       1.967819027556e-02       2.243154750470e+04 
       1.980909425055e-02       2.240174563039e+04 
       1.994006441249e-02       2.237102959767e+04 
       2.007110198386e-02       2.233916717882e+04 
       2.020220821803e-02       2.230640739706e+04 
       2.033338439983e-02       2.227271286030e+04 
       2.046463184625e-02       2.223807197834e+04 
       2.059595190707e-02       2.220253322777e+04 
       2.072734596553e-02       2.216615125703e+04 
       2.085881543907e-02       2.212875937074e+04 
       2.099036178000e-02       2.209052384057e+04 
       2.112198647632e-02       2.205150768390e+04 
