# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.680071378870e-10       8.172917429424e-15       2.297869706789e-13       6.262981334801e-17       8.000578342512e-11       1.124227420792e-11      -6.491304310628e-15 
   41       1.704971104073e-10       8.873470722329e-15       2.193148190587e-13       6.580531902589e-17       7.606627806880e-11       1.072657113724e-11      -6.422580430083e-15 
   42       1.730055102393e-10       9.611479932572e-15       2.074750126292e-13       6.906077110794e-17       7.238071856720e-11       1.023902579902e-11      -6.805567819299e-15 
   43       1.755425443035e-10       1.038752678152e-14       1.941798394848e-13       7.239620518411e-17       6.893942476427e-11       9.780579250760e-12      -7.442921518788e-15 
   44       1.781163725196e-10       1.120213172084e-14       1.793296444930e-13       7.581164939627e-17       6.571750450364e-11       9.350662257384e-12      -8.091224918985e-15 
   45       1.807321801130e-10       1.205575903453e-14       1.628273689943e-13       7.930712117706e-17       6.268377772726e-11       8.947693522762e-12      -8.521306294874e-15 
   46       1.833896856244e-10       1.294884127905e-14       1.446293779697e-13       8.288261665864e-17       5.983358565677e-11       8.571060027978e-12      -8.727229229035e-15 
   47       1.860844390349e-10       1.388175686940e-14       1.247083667524e-13       8.653811784148e-17       5.716372910367e-11       8.219506391434e-12      -8.775062912078e-15 
   48       1.888081266471e-10       1.485481994388e-14       1.030393083460e-13       9.027359510908e-17       5.466257253332e-11       7.890465287731e-12      -8.746052434569e-15 
   49       1.915482689810e-10       1.586827773243e-14       7.959948111436e-14       9.408900689823e-17       5.230941608982e-11       7.579962958025e-12      -8.737477962669e-15 
   50       1.942928352622e-10       1.692232365180e-14       5.436688709582e-14       9.798429983437e-17       5.008075210669e-11       7.283773270790e-12      -8.838564838432e-15 
   51       1.970462643965e-10       1.801714688670e-14       2.731493656721e-14       1.019594099457e-16       4.797249362466e-11       7.001468419492e-12      -9.048511825346e-15 
   52       1.998172705039e-10       1.915289171799e-14      -1.583631472064e-15       1.060142612086e-16       4.598269406024e-11       6.733304409871e-12      -9.337697694409e-15 
   53       2.026142373539e-10       2.032964112546e-14      -3.235531293377e-14       1.101487648114e-16       4.410489328059e-11       6.479033721483e-12      -9.670378178633e-15 
   54       2.054451476308e-10       2.154741489632e-14      -6.502588668661e-14       1.143628188462e-16       4.232781360423e-11       6.237869573370e-12      -1.000437107454e-14 
   55       2.083164520759e-10       2.280617043630e-14      -9.961503767899e-14       1.186563164299e-16       4.063881097865e-11       6.008787429816e-12      -1.029959982289e-14 
   56       2.112295099800e-10       2.410580977224e-14      -1.361185520563e-13       1.230291731344e-16       3.903592892707e-11       5.791599092463e-12      -1.054693105995e-14 
   57       2.141831405370e-10       2.544617097593e-14      -1.745217830846e-13       1.274813058317e-16       3.751830658214e-11       5.586082844253e-12      -1.074594936361e-14 
   58       2.171744958950e-10       2.682702386647e-14      -2.148045287866e-13       1.320126248821e-16       3.608253160366e-11       5.391647483832e-12      -1.089675600742e-14 
   59       2.201989491198e-10       2.824806822405e-14      -2.569408686267e-13       1.366230341551e-16       3.472248248489e-11       5.207309730450e-12      -1.099999919769e-14 
   60       2.232499821566e-10       2.970893200368e-14      -3.008990001964e-13       1.413124310498e-16       3.342917085876e-11       5.031671628853e-12      -1.105690431052e-14 
   61       2.263213301919e-10       3.120914114411e-14      -3.466485596972e-13       1.460807214009e-16       3.219324381671e-11       4.863303857097e-12      -1.106942344445e-14 
   62       2.294142306559e-10       3.274802511654e-14      -3.941848729814e-13       1.509278680585e-16       3.101350396064e-11       4.702047306530e-12      -1.104065490012e-14 
   63       2.325316099285e-10       3.432478690909e-14      -4.435098828856e-13       1.558538532989e-16       2.989003064113e-11       4.547964889576e-12      -1.097457194202e-14 
   64       2.356759308778e-10       3.593852692660e-14      -4.946252184411e-13       1.608586653847e-16       2.882161685832e-11       4.400951893350e-12      -1.087594514042e-14 
   65       2.388491524165e-10       3.758824030311e-14      -5.475322690141e-13       1.659422990574e-16       2.780569596838e-11       4.260726263540e-12      -1.075037639422e-14 
   66       2.420526890576e-10       3.927281421435e-14      -6.022322584463e-13       1.711047560306e-16       2.683826838995e-11       4.126818888301e-12      -1.060433295381e-14 
   67       2.452873704713e-10       4.099102519024e-14      -6.587263191950e-13       1.763460454828e-16       2.591382831059e-11       3.998563882141e-12      -1.044518144387e-14 
   68       2.485537565716e-10       4.274163071539e-14      -7.170104263046e-13       1.816661917137e-16       2.502683732603e-11       3.875285868972e-12      -1.028004459520e-14 
   69       2.518532473181e-10       4.452367159111e-14      -7.770588415882e-13       1.870652578116e-16       2.417665592924e-11       3.756927616226e-12      -1.011202638466e-14 
   70       2.551871261677e-10       4.633622629343e-14      -8.388374325768e-13       1.925433276887e-16       2.336348419438e-11       3.643532705818e-12      -9.943279614929e-15 
   71       2.585561936521e-10       4.817832183479e-14      -9.023084595771e-13       1.981005000071e-16       2.258687013174e-11       3.535055193480e-12      -9.776119371768e-15 
   72       2.619607360271e-10       5.004893348807e-14      -9.674305183492e-13       2.037368888539e-16       2.184567595772e-11       3.431354930994e-12      -9.613026937091e-15 
   73       2.654004939217e-10       5.194698451042e-14      -1.034158482786e-12       2.094526244181e-16       2.113804436475e-11       3.332192888420e-12      -9.456653702080e-15 
   74       2.688746309871e-10       5.387134586732e-14      -1.102443447588e-12       2.152478536661e-16       2.046136479123e-11       3.237226476330e-12      -9.309825080282e-15 
   75       2.723817025460e-10       5.582083595645e-14      -1.172232670948e-12       2.211227410182e-16       1.981223969151e-11       3.146004868034e-12      -9.175544420709e-15 
   76       2.759202647537e-10       5.779419270453e-14      -1.243473305450e-12       2.270774613176e-16       1.918732934044e-11       3.058082762634e-12      -9.056160185230e-15 
   77       2.794908996274e-10       5.978998459366e-14      -1.316124502950e-12       2.331121757624e-16       1.858613866197e-11       2.973395964608e-12      -8.950683499687e-15 
   78       2.830945040486e-10       6.180668283328e-14      -1.390147423197e-12       2.392270527928e-16       1.800867967257e-11       2.891946112616e-12      -8.856986281972e-15 
   79       2.867316640884e-10       6.384268671902e-14      -1.465501661455e-12       2.454222759182e-16       1.745462256951e-11       2.813686101916e-12      -8.772581552066e-15 
   80       2.904026367911e-10       6.589632279010e-14      -1.542145268869e-12       2.516980442353e-16       1.692328001579e-11       2.738517835329e-12      -8.694610187187e-15 
   81       2.941073319576e-10       6.796584398681e-14      -1.620034772816e-12       2.580545729464e-16       1.641359142523e-11       2.666289974190e-12      -8.619827676957e-15 
   82       2.978452939286e-10       7.004942880790e-14      -1.699125197273e-12       2.644920938771e-16       1.592410724741e-11       2.596795689304e-12      -8.544590878546e-15 
   83       3.016156833684e-10       7.214518046802e-14      -1.779370083166e-12       2.710108559948e-16       1.545297325272e-11       2.529770411900e-12      -8.464844771839e-15 
   84       3.054176566719e-10       7.425117881437e-14      -1.860720767072e-12       2.776111224358e-16       1.499838194374e-11       2.464958234442e-12      -8.377175384100e-15 
   85       3.092516163601e-10       7.636564781099e-14      -1.943124035309e-12       2.842931598867e-16       1.456004719583e-11       2.402328687297e-12      -8.282198133591e-15 
   86       3.131181355381e-10       7.848681440413e-14      -2.026524116458e-12       2.910572483849e-16       1.413794640471e-11       2.341891942622e-12      -8.181709529482e-15 
   87       3.170175673377e-10       8.061285827515e-14      -2.110863396231e-12       2.979036851044e-16       1.373186734748e-11       2.283632280597e-12      -8.077675550344e-15 
   88       3.209500333836e-10       8.274191188468e-14      -2.196082425364e-12       3.048327848161e-16       1.334140031849e-11       2.227506994163e-12      -7.972236318116e-15 
   89       3.249154122590e-10       8.487206051677e-14      -2.282119927511e-12       3.118448803463e-16       1.296593026523e-11       2.173445293752e-12      -7.867710772081e-15 
   90       3.289133279723e-10       8.700134232301e-14      -2.368912807136e-12       3.189403230370e-16       1.260462892418e-11       2.121347212022e-12      -7.766601342832e-15 
   91       3.329431384229e-10       8.912774836668e-14      -2.456396157410e-12       3.261194832046e-16       1.225644695670e-11       2.071082508596e-12      -7.671598626251e-15 
   92       3.370039238674e-10       9.124922266688e-14      -2.544503268102e-12       3.333827505996e-16       1.192010608487e-11       2.022489574789e-12      -7.585586057472e-15 
   93       3.410947768734e-10       9.336370059921e-14      -2.633166396795e-12       3.407305418337e-16       1.159440271150e-11       1.975413835118e-12      -7.510929696005e-15 
   94       3.452157471174e-10       9.546923060832e-14      -2.722319198048e-12       3.481633229405e-16       1.127918809698e-11       1.929831937469e-12      -7.447215241516e-15 
   95       3.493670180210e-10       9.756387096771e-14      -2.811894675879e-12       3.556815910736e-16       1.097452174704e-11       1.885744303015e-12      -7.393177723083e-15 
   96       3.535486106277e-10       9.964565361729e-14      -2.901824471116e-12       3.632858683880e-16       1.068036952358e-11       1.843136748020e-12      -7.347380991604e-15 
   97       3.577603762078e-10       1.017125847340e-13      -2.992038879777e-12       3.709767025955e-16       1.039660005624e-11       1.801979930743e-12      -7.308212580611e-15 
   98       3.620019888630e-10       1.037626453027e-13      -3.082466871435e-12       3.787546675200e-16       1.012298115396e-11       1.762228798335e-12      -7.273878567077e-15 
   99       3.662729381308e-10       1.057937916862e-13      -3.173036107596e-12       3.866203636519e-16       9.859176216529e-12       1.723822033742e-12      -7.242398432224e-15 
  100       3.705725215893e-10       1.078039561968e-13      -3.263672960066e-12       3.945744187040e-16       9.604740646169e-12       1.686681502601e-12      -7.211599922337e-15 
  101       3.748998374618e-10       1.097910476662e-13      -3.354302529325e-12       4.026174881656e-16       9.359118259067e-12       1.650711700145e-12      -7.179113909569e-15 
  102       3.792537772212e-10       1.117529520165e-13      -3.444848662901e-12       4.107502558584e-16       9.121637696955e-12       1.615799198098e-12      -7.142369252751e-15 
  103       3.836330181949e-10       1.136875328308e-13      -3.535233973736e-12       4.189734344909e-16       8.891508838663e-12       1.581812091579e-12      -7.098587658204e-15 
  104       3.880362865307e-10       1.155926854223e-13      -3.625380821158e-12       4.272877442893e-16       8.668002051116e-12       1.548631033952e-12      -7.045431296410e-15 
  105       3.924632024801e-10       1.174665061308e-13      -3.715214365119e-12       4.356938444052e-16       8.451021248337e-12       1.516248307266e-12      -6.983056354401e-15 
  106       3.969135360447e-10       1.193071470658e-13      -3.804659960709e-12       4.441923932336e-16       8.240601914858e-12       1.484681165954e-12      -6.912328598848e-15 
  107       4.013869424409e-10       1.211127657952e-13      -3.893642261007e-12       4.527840698205e-16       8.036733618900e-12       1.453941240464e-12      -6.834197401482e-15 
  108       4.058829576747e-10       1.228815265037e-13      -3.982085246029e-12       4.614695741767e-16       7.839358433157e-12       1.424034331283e-12      -6.749697773047e-15 
  109       4.104009941181e-10       1.246116011513e-13      -4.069912251678e-12       4.702496275922e-16       7.648369355583e-12       1.394960202954e-12      -6.659952397250e-15 
  110       4.149403360839e-10       1.263011706318e-13      -4.157045998696e-12       4.791249729503e-16       7.463608730173e-12       1.366712378097e-12      -6.566173664711e-15 
  111       4.195001354020e-10       1.279484259316e-13      -4.243408621611e-12       4.880963750413e-16       7.284866667756e-12       1.339277931432e-12      -6.469665706914e-15 
  112       4.240794069946e-10       1.295515692880e-13      -4.328921697687e-12       4.971646208773e-16       7.111879466772e-12       1.312637283796e-12      -6.371826430161e-15 
  113       4.286770244521e-10       1.311088153478e-13      -4.413506275878e-12       5.063305200056e-16       6.944328034063e-12       1.286763996166e-12      -6.274149549515e-15 
  114       4.332917156084e-10       1.326183923259e-13      -4.497082905770e-12       5.155949048235e-16       6.781836305654e-12       1.261624563677e-12      -6.178226622760e-15 
  115       4.379220581166e-10       1.340785431638e-13      -4.579571666539e-12       5.249586308917e-16       6.623969667544e-12       1.237178209644e-12      -6.085749084344e-15 
  116       4.425666667707e-10       1.354875762165e-13      -4.660892957149e-12       5.344225508021e-16       6.470330285531e-12       1.213386467891e-12      -5.998167184010e-15 
  117       4.472247907665e-10       1.368440218277e-13      -4.740969914055e-12       5.439874315021e-16       6.320859619909e-12       1.190243691814e-12      -5.915615411285e-15 
  118       4.518957810859e-10       1.381464970551e-13      -4.819726343182e-12       5.536540274614e-16       6.175569896529e-12       1.167749885114e-12      -5.837859634184e-15 
  119       4.565789025493e-10       1.393936594249e-13      -4.897086020264e-12       5.634231062990e-16       6.034449774231e-12       1.145901127250e-12      -5.764627515733e-15 
  120       4.612733310861e-10       1.405842085281e-13      -4.972972726524e-12       5.732954488633e-16       5.897463622470e-12       1.124689454007e-12      -5.695607514364e-15 
  121       4.659781510062e-10       1.417168876171e-13      -5.047310284358e-12       5.832718493125e-16       5.764550798951e-12       1.104102738062e-12      -5.630447884306e-15 
  122       4.706923522708e-10       1.427904852020e-13      -5.120022593010e-12       5.933531151949e-16       5.635624927254e-12       1.084124569552e-12      -5.568755675981e-15 
  123       4.754148277631e-10       1.438038366472e-13      -5.191033664258e-12       6.035400675290e-16       5.510573174463e-12       1.064734136634e-12      -5.510095736395e-15 
  124       4.801443705596e-10       1.447558257677e-13      -5.260267658092e-12       6.138335408840e-16       5.389255528798e-12       1.045906106059e-12      -5.453989709534e-15 
  125       4.848796712011e-10       1.456453864258e-13      -5.327648918396e-12       6.242343834600e-16       5.271504077242e-12       1.027610503730e-12      -5.399915036756e-15 
  126       4.896193149634e-10       1.464715041274e-13      -5.393102008625e-12       6.347434571682e-16       5.157122283172e-12       1.009812595275e-12      -5.347303957183e-15 
  127       4.943617791284e-10       1.472332176184e-13      -5.456551747490e-12       6.453616377112e-16       5.045884263986e-12       9.924727666067e-13      -5.295542508099e-15 
  128       4.991054302551e-10       1.479296204813e-13      -5.517923244636e-12       6.560898146634e-16       4.937534068734e-12       9.755464044949e-13      -5.243969525339e-15 
  129       5.038486838151e-10       1.485599024831e-13      -5.577142779990e-12       6.669288639176e-16       4.831840697154e-12       9.589931936235e-13      -5.191995785285e-15 
  130       5.085905086943e-10       1.491234753554e-13      -5.634140475071e-12       6.778795614379e-16       4.728771515188e-12       9.428064145873e-13      -5.139478331343e-15 
  131       5.133299731359e-10       1.496198638939e-13      -5.688847983520e-12       6.889426601531e-16       4.628336586790e-12       9.269866491792e-13      -5.086385513646e-15 
